,TeamID,Season,League,Squad,# Pl,90s,Gls,Sh_x,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,PassLive,PassDead,Drib,Sh_y,Fld_x,Def,GCA,GCA90,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,Def.1,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3_x,PPA,CrsPA,Prog_x,Att_x,Pass Types: Live,Pass Types: Dead,Pass Types: FK,Pass Types: TB,Pass Types: Press,Pass Types: Sw,Pass Types: Crs,Pass Types: CK,Corner Kicks: In,Corner Kicks: Out,Corner Kicks: Str,Height: Ground,Height: Low,Height: High,Body Parts: Left,Body Parts: Right,Body Parts: Head,Body Parts: TI,Body Parts: Other,Outcomes: Cmp,Outcomes: Off,Outcomes: Out,Outcomes: Int,Outcomes: Blocks,Tackles: Tkl,Tackles: TklW,Tackles: Def 3rd,Tackles: Mid 3rd,Tackles: Att 3rd,Vs Dribbles: Tkl,Vs Dribbles: Att,Vs Dribbles: Tkl%,Vs Dribbles: Past,Pressures: Press,Pressures: Succ,Pressures: %,Pressures: Def 3rd,Pressures: Mid 3rd,Pressures: Att 3rd,Blocks: Blocks,Blocks: Sh,Blocks: ShSv,Blocks: Pass,Int_x,Tkl+Int,Clr,Err,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att_y,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog_y,1/3_y,CPA,Mis,Dis,Targ,Rec,Rec%,Prog.1,CrdY,CrdR,2CrdY,Fls,Fld_y,Off,Crs,Int_y,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Age,MP,Min,Mn/MP,Min%,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
0,37745278530914180,2017-2018,La Liga,Alavés,30,38.0,1.05,10.34,3.61,34.9,10.34,3.61,0.1,0.28,18.3,0.58,0.03,0.08,1.02,0.96,0.09,0.03,0.06,15.58,15.58,10.76,1.45,1.0,0.58,1.5,0.29,1.74,1.74,1.29,0.08,0.08,0.13,0.16,0.0,245.95,354.24,69.4,5007.63,2062.79,100.37,125.89,79.7,100.84,131.82,76.5,41.61,85.58,48.6,0.82,0.68,0.13,7.0,21.5,5.08,1.89,23.66,354.24,314.89,39.34,10.84,0.42,72.37,10.92,9.76,3.42,0.05,0.05,0.0,201.5,42.5,110.24,123.45,168.55,31.34,17.05,4.55,245.95,2.37,11.55,7.89,11.05,15.95,10.08,8.82,5.39,1.74,4.95,16.08,30.8,11.13,167.24,40.03,23.9,56.87,79.58,30.79,15.92,3.61,0.03,12.32,9.16,25.11,17.92,0.26,39.8,463.87,56.58,162.16,216.87,111.45,16.82,425.37,9.42,14.53,64.9,10.39,0.61,279.97,1388.74,698.32,26.42,8.47,2.89,11.79,9.74,307.45,245.95,80.0,32.71,2.76,0.11,0.11,16.16,13.97,2.92,9.76,9.16,10.08,0.08,0.26,0.05,92.34,9.89,10.03,49.7,25.5,38,90.0,90,100,11.0,85.0,7.97,2.92,20,4.05,1.24,1.05,1.32,-10,-0.26,1.02,1.4,-14.4,-0.38
1,37745278530914180,2018-2019,La Liga,Alavés,26,38.0,1.03,11.03,3.11,28.2,11.03,3.11,0.09,0.31,17.7,0.39,0.05,0.08,0.98,0.92,0.08,0.04,0.05,15.53,15.53,9.87,2.03,1.05,0.95,1.24,0.39,1.55,1.55,0.95,0.18,0.08,0.18,0.13,0.03,258.26,366.29,70.5,5355.53,2307.97,103.11,125.11,82.4,102.74,130.5,78.7,47.61,96.71,49.2,0.71,0.63,0.08,7.16,21.87,5.95,2.74,25.29,366.29,314.92,51.37,15.39,0.34,55.68,11.39,13.34,3.82,0.71,0.66,0.13,190.34,56.68,119.26,120.58,177.87,27.21,21.18,4.79,258.26,1.26,10.21,6.66,10.97,16.74,9.61,8.66,6.16,1.92,5.95,17.34,34.3,11.39,154.39,36.47,23.6,51.66,72.5,30.24,15.95,3.05,0.05,12.89,9.03,25.76,30.21,0.21,42.7,489.08,61.34,168.68,232.79,113.55,17.68,438.66,8.45,15.11,55.9,9.03,0.39,270.63,1324.76,722.66,27.24,8.68,1.76,13.47,9.13,333.11,258.26,77.5,35.37,2.66,0.03,0.0,14.5,13.13,1.53,13.34,9.03,9.61,0.05,0.16,0.05,92.42,18.47,18.97,49.3,26.7,38,90.0,90,100,11.0,85.0,0.0,2.97,17,4.03,1.32,1.03,1.32,-11,-0.29,0.98,1.34,-13.7,-0.36
2,37745278530914180,2019-2020,La Liga,Alavés,32,38.0,0.89,7.87,2.61,33.1,7.87,2.61,0.09,0.28,16.5,0.26,0.16,0.16,0.97,0.86,0.11,-0.08,-0.12,12.24,12.24,7.76,1.89,0.53,0.71,1.05,0.29,1.39,1.39,0.82,0.18,0.03,0.16,0.18,0.03,255.89,361.92,70.7,5448.92,2276.63,100.74,123.55,81.5,102.47,130.53,78.5,47.74,92.87,51.4,0.53,0.62,-0.09,5.79,19.76,4.66,1.32,22.58,361.92,309.24,52.68,14.32,0.66,68.37,12.05,9.82,3.58,1.11,1.34,0.29,180.89,61.79,119.24,113.0,174.42,28.16,23.05,5.34,255.89,1.53,10.74,5.24,10.13,16.13,9.74,7.76,7.08,1.29,5.11,15.26,33.4,10.16,147.61,38.53,26.1,46.24,74.21,27.16,15.16,3.16,0.0,12.0,5.63,21.76,28.55,0.21,41.1,473.47,56.34,161.42,232.89,102.05,14.82,422.16,6.58,12.26,53.6,7.29,0.37,247.82,1220.58,595.26,23.03,6.76,2.21,12.05,10.16,326.08,255.89,78.5,31.63,2.92,0.18,0.08,16.34,11.39,1.61,9.82,5.63,9.74,0.13,0.37,0.0,88.11,21.66,16.24,57.2,27.6,38,90.0,90,100,11.0,83.0,0.0,3.5,22,4.92,1.03,0.89,1.55,-25,-0.66,0.97,1.4,-16.2,-0.43
3,37745278530914180,2020-2021,La Liga,Alavés,30,38.0,0.92,8.87,2.61,29.4,8.87,2.61,0.09,0.3,16.9,0.29,0.13,0.21,1.12,0.96,0.11,-0.19,-0.17,13.45,13.45,8.58,2.08,0.63,0.71,1.0,0.45,1.42,1.42,0.68,0.21,0.11,0.11,0.21,0.11,270.63,372.87,72.6,5827.66,2335.13,101.47,124.58,81.5,111.34,138.47,80.4,52.92,94.97,55.7,0.55,0.67,-0.12,6.45,19.5,5.05,1.97,22.32,372.87,321.71,51.16,15.79,0.66,61.92,14.58,10.76,3.74,0.97,1.66,0.39,203.08,57.84,111.95,128.47,174.26,24.47,21.08,4.89,270.63,1.71,9.0,8.42,10.34,15.16,9.45,7.79,5.71,1.66,4.87,14.5,33.6,9.63,143.45,39.74,27.7,46.05,66.95,30.45,15.0,2.76,0.11,12.24,11.32,26.47,28.0,0.24,42.7,483.97,60.24,172.79,231.61,103.61,16.84,433.97,7.21,12.55,57.4,7.95,0.42,258.58,1291.13,659.79,25.08,7.37,2.76,11.26,9.24,341.84,270.63,79.2,24.05,2.53,0.21,0.13,13.71,12.95,1.92,10.76,11.32,9.45,0.13,0.05,0.0,80.18,24.21,18.16,57.1,28.7,38,90.0,90,100,11.0,82.0,6.53,4.29,20,6.68,1.0,0.95,1.5,-21,-0.55,1.12,1.34,-8.3,-0.22
4,20069478421376018,2017-2018,Ligue 1,Amiens,30,38.0,0.95,9.79,2.89,29.6,9.79,2.89,0.09,0.3,19.3,0.34,0.08,0.11,0.93,0.85,0.09,0.02,0.02,14.32,14.32,9.87,1.63,0.82,0.68,1.05,0.26,1.63,1.63,1.03,0.08,0.16,0.13,0.16,0.08,287.89,401.18,71.8,5682.29,2335.61,112.47,136.87,82.2,124.45,156.5,79.5,43.76,89.66,48.8,0.53,0.62,0.01,6.87,22.63,4.63,1.42,27.63,401.18,359.45,41.74,10.84,0.53,66.32,10.03,10.39,3.47,0.0,0.0,0.0,245.34,37.89,117.95,116.13,221.89,31.26,18.53,3.89,287.89,1.58,12.37,9.76,10.79,15.95,9.71,8.92,5.34,1.68,4.42,13.92,31.8,9.5,128.26,35.45,27.6,48.66,56.32,23.29,17.11,4.58,0.11,12.53,13.21,29.16,20.13,0.32,43.4,520.87,63.34,204.18,234.79,116.76,14.32,480.13,8.45,14.16,59.7,9.21,0.24,306.39,1692.76,878.97,30.92,9.97,1.89,13.5,11.5,345.26,287.89,83.4,36.13,0.0,0.0,0.05,12.68,12.21,1.82,10.39,13.21,9.71,0.11,0.11,0.0,96.61,7.61,8.26,47.9,27.5,38,90.0,90,100,11.0,0.0,0.0,2.92,0,4.08,1.18,0.97,1.11,-5,-0.13,0.93,1.46,-20.2,-0.53
5,20069478421376018,2018-2019,Ligue 1,Amiens,26,38.0,0.79,10.34,3.03,29.3,10.34,3.03,0.07,0.24,19.2,0.55,0.05,0.08,0.91,0.85,0.08,-0.12,-0.11,15.97,15.97,11.63,1.42,0.82,0.58,1.16,0.37,1.37,1.37,1.0,0.08,0.11,0.05,0.08,0.05,316.61,425.82,74.4,6384.24,2454.29,125.21,148.97,84.0,134.58,165.26,81.4,52.32,98.13,53.3,0.58,0.61,-0.03,7.42,25.71,5.45,1.55,29.79,425.82,372.68,53.13,14.87,0.53,70.79,11.55,10.18,3.63,0.18,0.39,0.11,258.29,58.82,108.71,108.92,250.74,24.26,23.89,4.61,316.61,1.42,10.55,7.05,11.63,17.29,11.95,8.5,6.79,2.0,5.42,18.42,29.4,13.0,160.74,42.03,26.1,54.55,74.39,31.79,15.87,3.84,0.05,12.03,6.92,24.21,25.89,0.11,46.7,541.61,56.26,174.29,268.26,129.16,15.53,489.71,9.18,15.18,60.5,10.13,0.26,342.89,1574.16,847.24,32.29,9.76,1.89,13.71,11.63,392.08,316.61,80.8,37.58,1.55,0.16,0.08,13.76,13.84,1.76,10.18,6.92,11.95,0.03,0.18,0.05,94.13,14.55,14.89,49.4,26.5,38,90.0,90,100,11.0,85.0,0.0,2.79,17,4.21,1.0,0.82,1.37,-21,-0.55,0.91,1.22,-11.8,-0.31
6,20069478421376018,2019-2020,Ligue 1,Amiens,27,28.0,1.11,8.18,2.75,33.6,8.18,2.75,0.12,0.36,19.1,0.46,0.11,0.18,0.95,0.81,0.1,0.15,0.19,13.0,13.0,9.14,0.96,1.0,0.39,1.04,0.46,1.89,1.89,1.21,0.0,0.21,0.14,0.21,0.11,349.18,452.25,77.2,6710.61,2537.5,151.82,174.32,87.1,139.04,167.21,83.1,50.71,92.04,55.1,0.71,0.6,0.12,5.68,26.21,4.93,1.46,33.57,452.25,400.29,51.96,12.54,0.71,79.64,12.61,10.61,3.82,1.64,1.07,0.21,277.11,71.0,104.14,141.07,249.75,18.64,23.82,6.04,349.18,1.11,9.39,7.71,12.0,17.21,11.36,8.11,7.54,1.57,6.54,19.79,33.0,13.25,178.14,48.64,27.3,55.36,87.43,35.36,16.68,4.0,0.11,12.68,9.75,26.96,30.75,0.32,45.5,578.36,61.04,183.5,299.57,128.29,14.89,528.04,10.11,17.07,59.2,11.36,0.71,357.54,1663.25,888.29,34.54,10.21,2.86,14.68,15.25,420.39,349.18,83.1,39.89,2.04,0.14,0.07,14.39,11.43,1.29,10.61,9.75,11.36,0.18,0.04,0.04,88.82,16.79,18.82,47.1,27.4,28,90.0,90,100,11.0,84.0,0.0,2.96,19,4.04,0.82,1.11,1.79,-19,-0.68,0.95,1.26,-8.7,-0.31
7,66587352409382849,2017-2018,Ligue 1,Angers,27,38.0,1.08,12.29,4.08,33.2,12.29,4.08,0.08,0.24,18.2,0.5,0.11,0.11,1.2,1.12,0.09,-0.12,-0.15,19.32,19.32,13.08,1.97,1.37,1.13,1.26,0.5,1.84,1.84,1.13,0.21,0.08,0.21,0.18,0.03,326.5,432.79,75.4,6388.76,2460.32,130.34,153.5,84.9,140.95,170.5,82.7,49.39,91.24,54.1,0.61,0.81,-0.02,9.03,26.32,6.18,1.66,31.92,432.79,390.61,42.18,10.11,0.89,70.03,11.16,11.42,4.32,0.0,0.0,0.0,281.74,34.84,116.21,130.71,240.68,28.63,21.18,5.92,326.5,1.34,9.71,10.47,12.42,15.03,9.39,8.42,5.11,1.5,4.39,16.39,26.8,12.0,136.11,35.08,25.8,44.71,66.05,25.34,14.89,2.13,0.05,12.76,10.58,25.61,14.47,0.29,44.9,545.82,44.87,182.76,258.0,141.71,18.05,504.16,8.18,14.84,55.1,9.0,0.61,345.08,1938.24,979.87,37.74,12.18,2.97,13.42,11.11,379.79,326.5,86.0,41.18,0.0,0.0,0.05,11.66,11.55,1.58,11.42,10.58,9.39,0.08,0.16,0.11,93.0,6.05,7.24,45.5,27.1,38,90.0,90,100,11.0,0.0,0.0,2.95,0,4.03,1.08,1.11,1.37,-10,-0.26,1.2,1.16,1.6,0.04
8,66587352409382849,2018-2019,Ligue 1,Angers,24,38.0,1.11,11.92,3.97,33.3,11.92,3.97,0.08,0.25,17.9,0.5,0.13,0.26,1.26,1.05,0.09,-0.15,-0.07,19.11,19.11,12.66,2.03,1.24,1.11,1.71,0.37,1.71,1.71,1.18,0.11,0.11,0.16,0.16,0.0,342.63,440.58,77.8,6654.66,2580.08,141.24,163.47,86.4,147.76,177.03,83.5,49.37,87.61,56.4,0.71,0.78,-0.07,8.82,24.13,6.84,1.55,30.55,440.58,392.37,48.21,13.0,1.13,76.58,10.42,9.66,4.34,0.47,0.76,0.11,290.42,53.55,96.61,128.26,253.74,21.39,20.92,6.45,342.63,1.16,7.89,6.82,10.74,17.5,11.89,9.29,6.24,1.97,6.03,21.13,28.5,15.11,196.34,49.11,25.0,72.16,95.89,28.29,15.61,3.13,0.05,12.47,9.61,27.11,23.21,0.13,43.2,557.5,52.66,183.08,276.16,137.37,19.32,510.32,11.58,18.34,63.1,12.39,0.39,366.08,1824.29,1021.53,38.84,13.45,2.58,12.53,13.61,405.79,342.63,84.4,38.21,1.29,0.11,0.0,11.92,11.97,1.42,9.66,9.61,11.89,0.26,0.11,0.05,87.45,11.92,10.74,52.6,28.0,38,90.0,90,100,11.0,85.0,0.0,2.89,19,4.08,1.21,1.16,1.29,-5,-0.13,1.26,1.23,0.7,0.02
9,66587352409382849,2019-2020,Ligue 1,Angers,26,28.0,0.96,13.11,4.0,30.5,13.11,4.0,0.07,0.23,18.8,0.57,0.04,0.04,0.96,0.94,0.07,0.0,-0.01,19.71,19.71,14.25,2.04,1.25,0.82,1.0,0.36,1.64,1.64,1.25,0.07,0.11,0.11,0.11,0.0,379.14,476.64,79.5,7280.93,2669.32,165.39,186.79,88.5,153.04,177.21,86.4,54.82,95.11,57.6,0.75,0.72,0.03,9.32,26.75,7.39,2.25,32.46,476.64,425.61,51.04,12.75,0.89,73.79,13.5,12.68,5.21,1.39,2.96,0.54,301.61,74.57,100.46,167.11,252.68,16.89,22.96,6.61,379.14,0.86,8.0,8.61,12.04,17.93,11.43,8.21,7.46,2.25,6.14,19.89,30.9,13.75,184.61,50.96,27.6,58.57,90.43,35.61,15.04,2.11,0.04,12.93,8.43,26.36,24.64,0.29,45.1,597.89,51.82,191.25,290.5,155.29,21.14,547.57,12.29,19.93,61.6,13.11,0.93,385.93,1916.43,1039.29,42.0,13.71,3.64,13.79,12.79,446.71,379.14,84.9,39.82,1.5,0.07,0.04,12.0,11.25,1.0,12.68,8.43,11.43,0.04,0.11,0.04,89.07,15.89,15.89,50.0,28.0,28,90.0,90,100,11.0,84.0,0.0,2.86,23,4.14,1.39,1.0,1.18,-5,-0.18,0.96,1.02,-1.6,-0.06
10,66587352409382849,2020-2021,Ligue 1,Angers,31,38.0,1.03,10.5,3.61,34.3,10.5,3.61,0.09,0.25,18.6,0.5,0.13,0.16,1.1,0.98,0.09,-0.07,-0.08,16.58,16.58,11.95,1.26,1.16,0.68,1.0,0.53,1.5,1.5,0.89,0.18,0.11,0.11,0.18,0.03,398.11,492.45,80.8,7630.66,2655.61,169.68,189.21,89.7,164.97,189.13,87.2,57.05,97.11,58.8,0.61,0.72,-0.12,7.53,25.16,6.32,1.63,31.66,492.45,442.24,50.21,14.61,1.11,66.92,13.32,10.55,4.45,1.45,2.05,0.39,339.08,59.95,93.42,178.08,261.61,14.45,21.58,8.08,398.11,0.82,7.55,11.26,10.92,18.89,12.11,8.87,7.97,2.05,6.26,19.16,32.7,12.89,162.32,47.24,29.1,55.29,74.95,32.08,14.0,2.66,0.0,11.34,11.53,30.42,22.5,0.21,46.2,612.92,53.82,196.29,315.47,139.45,17.21,563.79,11.29,20.37,55.4,12.34,0.58,395.84,1889.16,980.05,38.26,12.92,2.82,13.37,14.11,471.92,398.11,84.4,33.21,1.71,0.05,0.03,12.18,12.79,1.13,10.55,11.53,12.11,0.16,0.21,0.03,84.87,12.89,15.39,45.6,27.9,38,90.0,90,100,11.0,81.0,6.5,4.47,21,4.42,1.16,1.05,1.53,-18,-0.47,1.1,1.34,-9.1,-0.24
11,60726784699523350,2020-2021,Bundesliga,Arminia,26,34.0,0.68,9.68,2.94,30.4,9.68,2.94,0.07,0.22,17.7,0.41,0.03,0.06,0.9,0.86,0.09,-0.23,-0.21,14.15,14.15,9.82,1.38,1.0,0.62,0.88,0.44,1.26,1.26,0.94,0.03,0.09,0.06,0.06,0.09,314.91,427.24,73.7,7009.32,2590.47,102.68,125.09,82.1,142.12,171.79,82.7,65.03,113.82,57.1,0.47,0.65,-0.18,6.59,21.41,5.62,1.32,24.06,427.24,378.41,48.82,14.53,0.41,72.41,14.82,8.53,3.44,1.68,1.09,0.09,252.53,54.97,119.74,112.06,242.29,24.24,21.06,5.88,314.91,1.32,9.44,8.82,11.71,18.53,11.59,8.97,7.65,1.91,5.62,17.26,32.5,11.65,169.62,48.65,28.7,55.56,79.65,34.41,18.29,3.85,0.06,14.44,8.91,27.44,27.53,0.26,42.2,544.97,83.44,235.03,231.74,109.47,16.94,497.79,7.94,13.71,57.9,8.97,0.76,308.53,1538.94,832.35,23.59,8.29,2.18,11.26,11.35,396.15,314.91,79.5,24.65,1.53,0.03,0.0,11.56,12.41,1.56,8.53,8.91,11.59,0.06,0.18,0.03,93.09,24.47,23.53,51.0,26.0,34,90.0,90,100,11.0,83.0,6.68,4.32,17,4.62,1.03,0.76,1.53,-26,-0.76,0.9,1.64,-25.0,-0.73
12,5838645288327307,2017-2018,Premier League,Arsenal,30,38.0,1.92,15.53,5.97,38.5,15.53,5.97,0.12,0.3,17.4,0.79,0.11,0.13,1.8,1.7,0.11,0.12,0.12,24.66,24.66,19.29,1.21,1.42,1.18,1.29,0.26,3.13,3.13,2.34,0.18,0.13,0.29,0.18,0.0,548.42,654.79,83.8,10399.39,3269.97,226.82,254.34,89.2,237.0,266.74,88.9,73.11,109.74,66.6,1.61,1.35,0.2,11.39,42.87,13.32,1.63,49.66,654.79,608.74,46.05,11.42,1.26,85.71,17.87,11.03,5.92,3.0,1.55,0.45,474.79,88.05,91.95,252.74,340.39,21.16,19.76,9.42,548.42,2.24,8.47,19.11,12.32,18.26,11.58,8.61,7.11,2.55,6.84,17.45,39.2,10.61,143.39,46.16,32.2,46.92,63.03,33.45,13.34,3.05,0.08,10.29,12.68,30.95,24.68,0.32,61.5,776.61,63.0,209.34,392.97,222.03,33.03,731.71,10.37,17.0,61.0,11.45,0.79,513.84,2541.34,1347.68,64.29,18.47,4.97,12.87,11.82,624.87,548.42,87.8,50.87,0.0,0.0,0.0,10.21,10.05,2.37,11.03,12.68,11.58,0.13,0.16,0.0,95.97,18.97,20.13,48.5,26.8,38,90.0,90,100,11.0,0.0,0.0,2.66,0,4.34,1.66,1.95,1.34,23,0.61,1.8,1.33,17.8,0.47
13,5838645288327307,2018-2019,Premier League,Arsenal,28,38.0,1.82,12.26,4.18,34.1,12.26,4.18,0.14,0.41,16.2,0.29,0.11,0.13,1.53,1.42,0.12,0.29,0.29,20.24,20.24,15.97,1.29,1.16,0.79,0.61,0.42,3.05,3.05,2.42,0.16,0.11,0.13,0.18,0.05,481.92,583.63,82.6,9234.61,2890.08,193.61,217.34,89.1,213.5,241.39,88.4,66.58,103.76,64.2,1.37,1.2,0.17,9.5,32.68,11.32,1.97,40.61,583.63,532.63,51.0,14.21,2.0,85.26,15.26,12.45,5.53,0.84,1.47,0.18,424.32,73.68,85.63,172.32,352.92,20.5,21.61,8.0,481.92,2.03,8.68,14.16,14.24,16.47,10.63,7.89,6.58,2.0,5.18,15.21,34.1,10.03,152.24,44.05,28.9,48.39,71.39,32.45,14.47,3.39,0.05,11.08,10.13,26.61,25.13,0.29,58.0,700.95,71.03,224.0,341.97,180.16,29.42,651.92,9.61,15.76,60.9,10.34,0.63,487.66,2491.11,1342.82,55.66,15.45,5.47,12.26,12.11,556.66,481.92,86.6,44.37,1.92,0.05,0.03,10.89,12.11,2.45,12.45,10.13,10.63,0.11,0.16,0.05,87.08,13.0,15.63,45.4,26.7,38,90.0,90,100,11.0,83.0,0.0,2.97,26,4.03,1.84,1.92,1.34,22,0.58,1.53,1.42,3.9,0.1
14,5838645288327307,2019-2020,Premier League,Arsenal,29,38.0,1.47,10.55,3.79,35.9,10.55,3.79,0.13,0.37,15.9,0.5,0.08,0.08,1.29,1.23,0.12,0.18,0.16,16.63,16.63,11.47,1.5,1.32,0.95,0.95,0.45,2.26,2.26,1.5,0.11,0.11,0.24,0.11,0.21,430.24,521.11,82.6,8453.16,2496.45,165.76,184.97,89.6,194.53,218.58,89.0,63.89,99.37,64.3,0.92,0.79,0.13,7.5,29.5,8.42,1.84,32.63,521.11,471.84,49.26,12.89,0.95,92.37,13.89,12.58,6.08,1.74,1.97,0.95,361.37,73.08,86.66,167.42,302.95,16.0,19.82,7.53,430.24,1.66,8.45,6.79,13.47,15.82,9.82,8.55,5.24,2.03,5.32,15.68,33.9,10.37,161.24,43.16,26.8,59.08,70.05,32.11,16.16,4.03,0.05,12.13,6.42,22.24,25.74,0.37,54.0,636.74,77.08,226.92,302.84,149.76,24.5,589.21,11.26,18.71,60.2,11.97,0.89,429.18,2286.63,1281.74,50.47,13.18,4.5,11.79,11.87,496.08,430.24,86.7,39.05,2.32,0.13,0.03,11.05,11.5,1.95,12.58,6.42,9.82,0.05,0.16,0.0,81.18,13.13,15.08,46.5,25.8,38,90.0,90,100,11.0,83.0,0.0,3.24,21,4.29,1.47,1.47,1.26,8,0.21,1.29,1.49,-7.3,-0.19
15,5838645288327307,2020-2021,Premier League,Arsenal,29,38.0,1.39,11.97,3.71,31.0,11.97,3.71,0.1,0.33,16.9,0.61,0.16,0.16,1.41,1.29,0.11,-0.01,-0.05,19.03,19.03,14.53,1.05,1.08,0.89,1.21,0.26,2.5,2.5,1.76,0.05,0.18,0.21,0.26,0.03,468.47,560.29,83.6,8978.42,2462.21,185.71,207.79,89.4,213.21,236.76,90.1,62.47,97.97,63.8,1.0,0.96,0.04,8.5,34.68,8.95,1.89,35.26,560.29,517.47,42.82,11.61,1.16,67.03,13.74,13.66,5.42,2.05,1.82,0.39,413.79,64.26,82.24,206.76,302.63,17.55,17.58,6.97,468.47,1.47,8.29,9.66,11.92,13.42,8.29,6.37,5.11,1.95,4.61,13.58,33.9,8.97,123.29,35.03,28.4,39.45,49.92,33.92,14.79,3.58,0.03,11.21,8.87,22.29,21.47,0.16,53.8,663.61,70.0,223.58,308.53,175.32,25.76,621.87,7.97,15.0,53.2,8.55,0.74,454.47,2395.0,1366.89,53.34,14.03,5.03,8.39,9.5,539.13,468.47,86.9,35.53,1.29,0.13,0.03,9.11,10.58,1.71,13.66,8.87,8.29,0.13,0.05,0.11,80.37,13.55,15.95,45.9,25.9,38,90.0,90,100,11.0,84.0,7.92,3.0,19,5.29,1.61,1.45,1.03,16,0.42,1.41,1.17,9.2,0.24
16,14348480492050895,2019-2020,Premier League,Aston Villa,28,38.0,1.05,11.92,3.84,32.2,11.92,3.84,0.09,0.27,16.9,0.45,0.03,0.08,1.06,0.99,0.08,-0.0,0.03,20.03,20.03,14.42,2.11,0.95,0.71,1.42,0.42,1.76,1.76,1.18,0.18,0.13,0.11,0.11,0.05,303.42,404.03,75.1,6391.24,2301.29,112.95,131.55,85.9,130.47,155.87,83.7,54.84,101.21,54.2,0.84,0.8,0.04,9.5,23.45,7.53,2.5,27.21,404.03,351.58,52.45,14.68,0.53,71.5,15.53,12.95,5.26,2.79,0.97,0.34,230.45,66.5,107.08,143.26,202.5,18.34,20.74,6.66,303.42,1.58,9.97,5.74,10.58,15.95,10.21,8.92,5.11,1.92,5.05,16.13,31.3,11.08,153.61,41.97,27.3,56.13,65.39,32.08,19.08,5.61,0.11,13.47,6.68,22.63,25.87,0.76,43.9,521.76,72.95,192.55,223.0,140.21,20.55,471.11,9.68,15.37,63.0,10.63,0.66,304.05,1740.47,910.0,37.29,12.26,3.37,10.76,11.26,370.71,303.42,81.8,35.39,1.84,0.03,0.03,11.87,13.82,1.61,12.95,6.68,10.21,0.05,0.16,0.03,87.39,17.58,19.82,47.0,25.7,38,90.0,90,100,11.0,84.0,0.0,2.97,22,4.55,0.92,1.08,1.76,-26,-0.68,1.06,1.73,-25.8,-0.68
17,14348480492050895,2020-2021,Premier League,Aston Villa,24,38.0,1.37,13.63,4.71,34.6,13.63,4.71,0.09,0.26,16.5,0.39,0.13,0.16,1.39,1.28,0.1,-0.02,-0.04,22.08,22.08,15.82,2.13,1.39,1.03,1.39,0.32,2.26,2.26,1.61,0.18,0.05,0.16,0.18,0.08,336.29,435.68,77.2,6935.16,2506.18,127.24,146.89,86.6,145.0,170.03,85.3,57.21,101.26,56.5,1.0,0.98,0.02,10.47,28.39,9.26,2.08,32.53,435.68,385.16,50.53,15.53,0.47,72.76,14.24,13.92,5.58,2.37,1.37,0.55,265.74,63.42,106.53,156.76,214.82,20.79,20.47,6.16,336.29,1.74,9.03,9.92,10.55,15.53,9.42,7.05,6.16,2.32,5.34,14.66,36.4,9.32,143.32,38.76,27.0,49.68,59.92,33.71,15.87,4.68,0.03,11.18,9.92,25.45,25.11,0.32,48.1,552.24,70.95,185.68,234.71,162.95,27.89,504.0,10.37,16.0,64.8,10.92,0.5,324.84,1716.79,921.53,37.21,11.29,5.39,11.66,11.0,413.21,336.29,81.4,33.66,1.87,0.11,0.11,11.66,14.63,1.87,13.92,9.92,9.42,0.16,0.16,0.03,85.08,20.55,19.34,51.5,25.2,38,90.0,90,100,11.0,86.0,8.53,2.39,17,6.03,1.45,1.45,1.21,9,0.24,1.39,1.39,0.1,0.0
